director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
Michael Bay,PG-13,36089972,Armageddon,201578182,7/1/98 0:00,144,140000000,,
Nathan GrenoByron Howard,PG,48767052,Tangled,200821936,11/24/10 0:00,100,260000000,,
Gareth Edwards,PG-13,93188384,Godzilla,200676069,5/16/14 0:00,123,160000000,,
Bryan Singer,PG-13,52535096,Superman Returns,200081192,6/28/06 0:00,154,270000000,,
Victor Fleming,G,,Gone with the Wind,189523031,12/15/39 0:00,238,,,
Michael Bay,PG-13,59078912,Pearl Harbor,198542554,5/25/01 0:00,183,140000000,,
Rob LettermanConrad Vernon,PG,59321095,Monsters Vs. Aliens,198351526,3/27/09 0:00,94,175000000,,
George Miller,PG,41533432,Happy Feet,198000317,11/17/06 0:00,108,100000000,,
Steven Spielberg,PG-13,29355021,Indiana Jones and the Last Crusade,197171806,5/24/89 0:00,127,48000000,,
Carlos Saldanha,PG,41690382,Ice Age: Dawn of the Dinosaurs,196573705,7/1/09 0:00,87,90000000,,
Carlos Saldanha,PG,68033544,Ice Age: The Meltdown,195330621,3/31/06 0:00,90,80000000,,
Eric DarnellTom McGrath,PG,47224594,Madagascar,193595521,5/27/05 0:00,86,,,
Catherine Hardwicke,PG-13,69637740,Twilight,192769854,11/21/08 0:00,120,37000000,,
John Lasseter,G,29140617,Toy Story,191796233,11/22/95 0:00,81,,,
John LasseterBrad Lewis (co-director),G,66135507,Cars 2,191452396,6/24/11 0:00,113,200000000,,
Barry Sonnenfeld,PG-13,52148751,Men in Black II,190418803,7/3/02 0:00,88,140000000,,
Rich Moore,PG,49038712,Wreck-It Ralph,189422889,11/2/12 0:00,108,165000000,,
,PG,8941717,Grease,159978870,6/16/78 0:00,110,6000000,,
Ridley Scott,R,34819017,Gladiator,187705427,5/5/00 0:00,155,103000000,,
Kirk De MiccoChris Sanders,PG,43639736,The Croods,187168425,3/22/13 0:00,98,135000000,,
Guy Ritchie,PG-13,39637079,Sherlock Holmes: A Game of Shadows,186848418,12/16/11 0:00,128,,,
Roland Emmerich,PG-13,68743584,The Day After Tomorrow,186740799,5/28/04 0:00,124,125000000,,
Doug Liman,PG-13,50342878,Mr. & Mrs. Smith,186336279,6/10/05 0:00,115,110000000,,
,G,,Snow White and the Seven Dwarfs,66596803,12/21/37 0:00,83,149900000,,
Kevin Costner,PG-13,9491623,Dances with Wolves,184208848,11/9/90 0:00,183,22000000,,
Joel Schumacher,PG-13,52784433,Batman Forever,184031112,6/16/95 0:00,122,100000000,,
Andrew Davis,PG-13,23758855,The Fugitive,183875760,8/6/93 0:00,130,,,
Steven Soderbergh,PG-13,38107822,Ocean's Eleven,183417150,12/7/01 0:00,116,85000000,,
Robert Zemeckis,G,23323463,The Polar Express,162775358,11/10/04 0:00,100,165000000,,
David Silverman,PG-13,74036787,The Simpsons Movie,183135014,7/27/07 0:00,87,75000000,,
Nancy Meyers,PG-13,33614543,What Women Want,182811707,12/15/00 0:00,127,70000000,,
Wolfgang Petersen,PG-13,41325042,The Perfect Storm,182618434,6/30/00 0:00,129,140000000,,
Steven Spielberg,PG-13,21049406,Lincoln,182207973,11/9/12 0:00,145,65000000,,
Tom Shadyac,PG-13,31423025,Liar Liar,181410615,3/21/97 0:00,86,,,
Joe Johnston,PG-13,50771645,Jurassic Park III,181171875,7/18/01 0:00,92,93000000,,
Kenneth Branagh,PG-13,65723338,Thor,181030624,5/6/11 0:00,115,150000000,,
Brian De Palma,PG-13,45436830,Mission: Impossible,180981856,5/22/96 0:00,110,80000000,,
Tim Burton,PG-13,68532960,Planet of the Apes,180011740,7/27/01 0:00,119,100000000,,
Eric DarnellTom McGrath,PG,63106589,Madagascar: Escape 2 Africa,180010950,11/7/08 0:00,89,150000000,,
Gavin Hood,PG-13,85058003,X-Men Origins: Wolverine,179883157,5/1/09 0:00,107,150000000,,
Steven Spielberg,PG,25337110,Indiana Jones and the Temple of Doom,179870271,5/23/84 0:00,118,28000000,,
Tony Scott,PG,8193052,Top Gun,176781728,5/16/86 0:00,110,,,
Andy Tennant,PG-13,43142214,Hitch,179495555,2/11/05 0:00,115,70000000,,
Barry Sonnenfeld,PG-13,54592779,MIB 3,179020854,5/25/12 0:00,106,225000000,,
Garry Marshall,R,11280591,Pretty Woman,178406268,3/23/90 0:00,119,14000000,,
Shawn Levy,PG,54173286,Night at the Museum: Battle of the Smithsonian,177243721,5/22/09 0:00,105,150000000,,
Sydney Pollack,PG,5540470,Tootsie,177200000,12/17/82 0:00,119,21000000,,
Rupert Wyatt,PG-13,54806191,Rise of the Planet of the Apes,176760185,8/5/11 0:00,110,93000000,,
Joe Johnston,PG-13,65058524,Captain America: The First Avenger,176654505,7/22/11 0:00,125,140000000,,
Harald Zwart,PG,55665805,The Karate Kid,176591618,6/11/10 0:00,140,40000000,,
The Farrelly Bros.,R,13740644,There's Something About Mary,176484651,7/15/98 0:00,119,23000000,,
Carlos Saldanha (co-director)Chris Wedge,PG,46312454,Ice Age,176387405,3/15/02 0:00,81,59000000,,
Paul Greengrass,PG-13,52521865,The Bourne Supremacy,176241941,7/23/04 0:00,108,75000000,,
,PG-13,8038855,Crocodile Dundee,174803506,9/26/86 0:00,93,,,
Ron Howard,PG,25353380,Apollo 13,172071312,6/30/95 0:00,140,,,
Chris Columbus,PG,31126882,Home Alone 2: Lost in New York,173585516,11/20/92 0:00,120,,,
Jon Favreau,PG,31113501,Elf,173398518,11/7/03 0:00,95,33000000,,
Jon Turteltaub,PG,35142554,National Treasure,173008894,11/19/04 0:00,131,100000000,,
Wolfgang Petersen,R,37132505,Air Force One,172956409,7/25/97 0:00,124,85000000,,
Barry Levinson,R,7005719,Rain Man,172825435,12/16/88 0:00,133,25000000,,
Joseph Kosinski,PG,44026211,Tron Legacy,172062763,12/17/10 0:00,125,170000000,,
Andy & Lana Wachowski,R,27788331,The Matrix,171479930,3/31/99 0:00,136,63000000,,
Ethan CoenJoel Coen,PG-13,24830443,True Grit,171243005,12/22/10 0:00,110,38000000,,
Chris Buck,G,34221968,Tarzan,171091819,6/16/99 0:00,88,130000000,,
Ron Howard,PG-13,16565820,A Beautiful Mind,170742341,12/21/01 0:00,136,58000000,,
Rob Marshall,PG-13,8238709,Chicago,170687518,12/27/02 0:00,107,45000000,,
Tate Taylor,PG-13,26044590,The Help,169708112,8/10/11 0:00,137,25000000,,
Paul Feig,R,26247410,Bridesmaids,169106725,5/13/11 0:00,125,32500000,,
Marc Forster,PG-13,67528882,Quantum of Solace,168368427,11/14/08 0:00,106,200000000,,
Walter Becker,PG-13,39699023,Wild Hogs,168273550,3/2/07 0:00,99,,,
,PG,10384392,Three Men and a Baby,167780960,11/25/87 0:00,102,11000000,,
Martin Campbell,PG-13,40833156,Casino Royale,167445960,11/17/06 0:00,144,150000000,,
Jay Roach,PG-13,28623300,Meet the Parents,166244045,10/6/00 0:00,108,55000000,,
Roland Emmerich,PG-13,65237614,2012,166112167,11/13/09 0:00,158,200000000,,
Kevin Reynolds,PG-13,25625602,Robin Hood: Prince of Thieves,165493908,6/14/91 0:00,143,48000000,,
Jennifer Yuh Nelson,PG,47656302,Kung Fu Panda 2,165249063,5/26/11 0:00,91,150000000,,
Ridley Scott,R,58003121,Hannibal,165092268,2/9/01 0:00,131,87000000,,
Steven Spielberg,PG-13,30053627,Catch Me If You Can,164615351,12/25/02 0:00,140,52000000,,
Anne Fletcher,PG-13,33627598,The Proposal,163958031,6/19/09 0:00,108,40000000,,
Gabriele Muccino,PG-13,26541709,The Pursuit of Happyness,163566459,12/15/06 0:00,116,55000000,,
Dennis Dugan,PG-13,41536370,Big Daddy,163479795,6/25/99 0:00,93,34200000,,
Louis Leterrier,PG-13,61235105,Clash of the Titans,163214888,4/2/10 0:00,118,125000000,,
Tim Burton,PG-13,45687711,Batman Returns,162831698,6/19/92 0:00,126,80000000,,
Quentin Tarantino,R,30122888,Django Unchained,162805434,12/25/12 0:00,165,100000000,,
John Lasseter,G,33258052,A Bug's Life,162798565,11/20/98 0:00,96,120000000,,
Dennis Dugan,PG-13,40506562,Grown Ups,162001186,6/25/10 0:00,102,80000000,,
Frank Coraci,PG-13,39414071,The Waterboy,161491646,11/6/98 0:00,90,23000000,,
,PG,46629259,Ice Age: Continental Drift,161321843,7/13/12 0:00,94,95000000,,
Lee Tamahori,PG-13,47072040,Die Another Day,160942139,11/22/02 0:00,123,142000000,,
Rob Letterman,PG,47604606,Shark Tale,160861908,10/1/04 0:00,90,75000000,,
Paul Feig,R,39115043,The Heat,159582188,6/28/13 0:00,117,43000000,,
Robert Wise,G,,The Sound of Music,158671368,3/2/65 0:00,174,8200000,,
Sydney Pollack,R,25400000,The Firm,158348367,7/2/93 0:00,154,,,
Peter Segal,PG-13,47606480,The Longest Yard,158119460,5/27/05 0:00,109,82000000,,
Bryan Singer,PG-13,54471475,X-Men,157299717,7/14/00 0:00,104,75000000,,
Keenen Ivory Wayans,R,42346669,Scary Movie,157019771,7/7/00 0:00,88,19000000,,
,R,7602740,Fatal Attraction,156645693,9/18/87 0:00,123,,,
Robert Zemeckis,PG,11226239,Who Framed Roger Rabbit,156452370,6/24/88 0:00,103,70000000,,
,PG,,The Sting,156000000,12/25/73 0:00,129,,,
Robert Zemeckis,PG-13,29702959,What Lies Beneath,155464351,7/21/00 0:00,130,100000000,,
Stephen Sommers,PG-13,43369635,The Mummy,155385488,5/7/99 0:00,124,80000000,,
Rupert Sanders,PG-13,56217700,Snow White and the Huntsman,155332381,6/1/12 0:00,127,170000000,,
Justin Lin,PG-13,70950500,Fast and Furious,155064265,4/3/09 0:00,99,85000000,,
,PG,38457003,Over the Hedge,155019340,5/19/06 0:00,87,,,
Tim Story,PG-13,56061504,Fantastic Four,154696080,7/8/05 0:00,123,100000000,,
Jimmy Hayward,G,45012998,Dr. Seuss' Horton Hears a Who!,154529439,3/14/08 0:00,88,85000000,,
Cameron Crowe,R,17084296,Jerry Maguire,153952592,12/13/96 0:00,138,50000000,,
Tony Scott,R,26348555,Beverly Hills Cop II,153665036,5/20/87 0:00,103,,,
Raja Gosnell,PG,54155312,Scooby-Doo,153294164,6/14/02 0:00,86,84000000,,
,PG,12511634,Gremlins,148168459,6/8/84 0:00,106,,,
Michael Patrick King,R,57038404,Sex and the City,152647258,5/30/08 0:00,135,65000000,,
Garry Marshall,PG,35055556,Runaway Bride,152257509,7/30/99 0:00,116,70000000,,
Neil Burger,PG-13,54607747,Divergent,150947895,3/21/14 0:00,143,85000000,,
,R,20176217,Rambo: First Blood Part II,150415432,5/22/85 0:00,94,,,
Rawson Marshall Thurber,R,26419396,We're the Millers,150394119,8/7/13 0:00,110,37000000,,
,R,44041440,Terminator 3: Rise of the Machines,150371112,7/2/03 0:00,109,200000000,,
Stephen Sommers,PG-13,54713046,G.I. Joe: The Rise of Cobra,150201498,8/7/09 0:00,118,175000000,,
David O. Russell,R,19106933,American Hustle,150117807,12/13/13 0:00,138,40000000,,
Nick Stoller,R,49033915,Neighbors,150086800,5/9/14 0:00,96,18000000,,
