director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
,PG,45138,Who Killed the Electric Car?,1678874,6/28/06 0:00,90,,,
,PG,808428,A Home of Our Own,1677807,11/5/93 0:00,104,,,
Robert Altman,R,118278,The Gingerbread Man,1677131,1/23/98 0:00,114,,,
George Hickenlooper,R,,Factory Girl,1675241,12/29/06 0:00,87,,,
,PG,,Walk Proud,1675040,1/1/79 0:00,102,,,
James Ivory,PG-13,46348,The White Countess,1669971,12/21/05 0:00,135,,,
,PG,1114255,Out on a Limb,1659542,9/4/92 0:00,82,,,
Olivier Assayas,Unrated,49484,Summer Hours,1657001,5/15/09 0:00,99,,,
,Unrated,31685,Late Marriage,1656445,5/17/02 0:00,102,,,
,R,50497,The Celebration,1656223,10/9/98 0:00,100,,,
Stephen Frears,R,38643,Prick Up Your Ears,1654743,4/17/87 0:00,111,,,
,R,872950,Marci X,1648818,8/22/03 0:00,73,20000000,,
,PG,1082064,Battle for Terra,1647083,5/1/09 0:00,85,,,
,R,,Get Crazy,1645711,8/5/83 0:00,92,,,
,R,5575,Spider,1642483,12/20/02 0:00,98,10000000,,
,Unrated,,Daughters of the Dust,1642436,1/3/92 0:00,113,,,
,PG-13,651850,How I Got Into College,1642239,5/19/89 0:00,86,,,
Roman Polanski,PG-13,1035447,Pirates,1641825,7/18/86 0:00,124,40000000,,
,PG-13,800469,Josh and S.A.M.,1640220,11/24/93 0:00,97,,,
,R,703109,Gun Shy,1638202,2/4/00 0:00,102,14000000,,
,Unrated,647112,Bhaag Milkha Bhaag,1636731,7/12/13 0:00,140,,,
Lynn Shelton,R,109221,Your Sister's Sister,1636190,6/15/12 0:00,90,,,
,Unrated,161115,Black Diamond Rush,1634386,10/12/93 0:00,96,,,
,R,36746,Love is All You Need,1631709,5/3/13 0:00,116,,,
Todd Graff,PG-13,54294,Camp,1629862,7/25/03 0:00,114,,,
,R,,Brain Dead,1627955,1/19/90 0:00,85,,,
,PG,344837,Silence of the North,1622898,10/23/81 0:00,94,,,
,R,44454,Coco Chanel & Igor Stravinsky,1621226,6/11/10 0:00,115,,,
,R,27112,Keeping Mum,1619466,9/15/06 0:00,90,,,
,R,86017,Potiche,1618844,3/25/11 0:00,103,,,
,PG-13,,Safe Passage,1618282,12/25/94 0:00,91,,,
,R,48292,I'm Not Scared,1615328,4/9/04 0:00,110,,,
,NC-17,33806,Wide Sargasso Sea,1614784,4/16/93 0:00,99,,,
,PG-13,73497,Senna,1612430,8/12/11 0:00,106,,,
Davis Guggenheim,PG,92679,It Might Get Loud,1610163,8/14/09 0:00,97,,,
Lee Tamahori,R,,Once Were Warriors,1608570,3/3/95 0:00,103,,,
,R,853589,Rhyme & Reason,1608277,3/7/97 0:00,91,,,
,Unrated,,Un Coeur en Hiver,1605437,6/4/93 0:00,101,,,
,PG,66245,Cairo Time,1603616,8/6/10 0:00,88,,,
,R,20388,Jesus of Montreal,1601612,5/25/90 0:00,120,,,
Sarah Polley,PG-13,27053,Stories We Tell,1600145,5/10/13 0:00,108,,,
,PG-13,468625,Nouvelle-France,1599716,11/19/04 0:00,145,,,
,R,72100,Farewell My Queen,1597998,7/13/12 0:00,100,,,
,R,733859,Chasers,1596687,4/22/94 0:00,101,,,
,R,47591,Sex and Lucia,1594779,7/12/02 0:00,128,,,
Tom Shadyac,Unrated,10092,I Am,1591034,2/18/11 0:00,87,,,
,R,380605,"New York, I Love You",1588015,10/16/09 0:00,103,,,
Douglas McGrath,PG,42864,Nicholas Nickleby,1587173,12/27/02 0:00,132,,,
,PG-13,444756,Making Mr. Right,1584970,4/10/87 0:00,99,,,
,Unrated,884757,Race 2,1579940,1/25/13 0:00,150,,,
,PG-13,704692,Solarbabies,1579260,11/26/86 0:00,94,,,
,Unrated,5532,Gomorrah,1579146,12/19/08 0:00,135,,,
,Unrated,4632,Vincent: The Life and Death of Vincent Van Gogh,1577480,8/19/88 0:00,105,,,
,R,62253,Hamlet,1577287,5/12/00 0:00,113,,,
,R,20078,May Fools,1576702,6/22/90 0:00,118,,,
,PG,661512,The Garbage Pail Kids Movie,1576615,8/21/87 0:00,96,,,
,R,53985,The Woodsman,1576231,12/24/04 0:00,87,,,
,R,,Farinelli,1573411,3/17/95 0:00,110,,,
Joel Schumacher,R,611276,Veronica Guerin,1571504,10/17/03 0:00,94,17000000,,
,R,803811,City of Industry,1568258,3/14/97 0:00,97,,,
Karyn Kusama,R,197896,Girlfight,1565852,9/29/00 0:00,110,,,
Woody Allen,PG,75196,Another Woman,1562749,10/14/88 0:00,81,,,
,R,75279,A Late Quartet,1562546,11/2/12 0:00,105,,,
,PG,35470,A Handful of Dust,1560700,6/24/88 0:00,118,,,
,PG-13,851391,Persecuted,1558836,7/18/14 0:00,91,,,
,R,609041,Zebrahead,1557771,10/23/92 0:00,101,,,
,R,211130,Ararat,1555959,11/15/02 0:00,126,15500000,,
Anthony Minghella,PG,4009,"Truly, Madly, Deeply",1554742,5/3/91 0:00,106,,,
,PG-13,470109,Bless Me Ultima,1553826,2/22/13 0:00,106,,,
,R,33931,Beautiful Thing,1548120,10/11/96 0:00,89,,,
,R,,The Haunting of Morella,1547867,2/9/90 0:00,82,,,
,R,558908,Two Moon Junction,1547397,4/29/88 0:00,104,,,
,R,38212,A Royal Affair,1546761,11/9/12 0:00,132,,,
,PG-13,555342,In God's Hands,1546414,4/24/98 0:00,97,,,
Bruce Robinson,R,,Withnail and I,1544889,9/12/87 0:00,107,,,
Carl Franklin,R,44545,One False Move,1543112,5/8/92 0:00,105,,,
Jim Jarmusch,R,,Mystery Train,1541218,9/12/89 0:00,110,,,
Mike White,PG-13,108223,Year of the Dog,1540141,4/13/07 0:00,97,,,
,PG,,Three for the Road,1539000,4/10/87 0:00,88,,,
Jonathan Demme,R,376896,Last Embrace,1537125,5/2/79 0:00,97,,,
Lars Von Trier,R,88855,Dogville,1535286,3/26/04 0:00,177,10000000,,
,R,47311,After the Wedding,1534584,3/30/07 0:00,120,,,
,Unrated,581943,Delhi Belly,1532594,7/1/11 0:00,103,,,
,R,551876,The Last of the Finest,1531489,3/9/90 0:00,106,,,
,R,57286,Murderball,1531154,7/8/05 0:00,88,,,
,R,,Lianna,1530839,1/18/83 0:00,113,,,
Bart Freundlich,R,180271,Trust the Man,1530535,8/18/06 0:00,103,,,
Keith Gordon,R,46938,A Midnight Clear,1526697,4/24/92 0:00,108,,,
,PG,916967,Misunderstood,1525532,3/30/84 0:00,91,,,
,R,,Stepfather 2,1519796,11/3/89 0:00,88,,,
,PG-13,764011,Being Human,1519366,5/6/94 0:00,122,40000000,,
,PG-13,22168,Kon-Tiki,1517410,4/26/13 0:00,101,,,
Mike Leigh,R,12856,Life Is Sweet,1516414,10/25/91 0:00,103,,,
,R,,"I, the Jury",1515578,1/9/82 0:00,111,,,
,Unrated,30246,The Double Hour,1514942,4/15/11 0:00,95,4300000,,
,Unrated,850244,Raajneeti,1514558,6/4/10 0:00,178,,,
Edward Zwick,R,474220,Leaving Normal,1514114,5/1/92 0:00,110,,,
,R,86708,Streets,1510053,1/19/90 0:00,83,,,
,Unrated,33677,Bill Cunningham New York,1510026,3/16/11 0:00,84,,,
,PG-13,55851,Married Life,1507990,3/7/08 0:00,90,12000000,,
Timur Bekmambetov,R,86985,Night Watch,1502188,2/17/06 0:00,114,,,
,PG-13,533610,Company Business,1501785,9/6/91 0:00,98,,,
,PG,30035,The Whistle Blower,1500000,7/10/87 0:00,100,,,
,G,,At Long Last Love,1500000,3/6/75 0:00,118,,,
Oliver Stone,R,,Salvador,1500000,3/5/86 0:00,123,4500000,,
,R,57280,M. Butterfly,1498795,10/1/93 0:00,100,,,
,PG-13,74945,Departures,1498210,5/29/09 0:00,130,,,
,R,680441,A Dangerous Woman,1497222,11/30/93 0:00,101,,,
Steven Soderbergh,Unrated,61070,Che,1497109,12/12/08 0:00,263,,,
,PG,,A Cry in the Wild,1494969,6/1/90 0:00,95,,,
Jim Sheridan,PG-13,27948,The Field,1494399,12/22/90 0:00,107,,,
,PG-13,127192,Garbo Talks,1493782,10/12/84 0:00,103,,,
,PG-13,225000,Bollywood/Hollywood,1454510,10/25/02 0:00,103,,,
,PG,65344,Evelyn,1487645,12/13/02 0:00,93,,,
,PG,,My Mother's Castle,1477071,7/26/91 0:00,99,,,
,PG,156066,Clockwise,1476356,10/10/86 0:00,96,,,
,R,509689,The Joneses,1475746,4/16/10 0:00,95,10000000,,
,R,,When the Cat's Away,1474628,6/20/97 0:00,95,,,
,R,,Endangered Species,1474249,9/10/82 0:00,97,,,
,R,27080,Read My Lips,1471911,7/5/02 0:00,115,,,
,PG-13,45933,Kid With a Bike,1470000,3/16/12 0:00,87,,,
,R,865207,Finders Keepers,1467396,5/18/84 0:00,96,,,
,PG-13,11051,Mister Johnson,1464242,3/22/91 0:00,97,,,
,G,,Joshua,1461635,4/19/02 0:00,90,,,
,PG-13,48023,Paradise Now,1457843,10/28/05 0:00,90,2000000,,
,R,52749,Nowhere Boy,1457248,10/8/10 0:00,98,,,
,R,13720,Birdy,1455045,12/21/84 0:00,120,,,
,Unrated,32657,Under the Sand,1452698,5/4/01 0:00,95,,,
,PG-13,24979,Pascali's Island,1451857,7/22/88 0:00,104,,,
,PG,905010,Ernest Rides Again,1450029,11/12/93 0:00,99,,,
,Unrated,768542,Kambakkht Ishq,1445739,7/3/09 0:00,140,,,
Wong Kar Wai,R,113074,2046,1444588,8/5/05 0:00,129,12000000,,
,Unrated,612486,Heyy Babyy,1443521,8/24/07 0:00,145,,,
,R,65584,Greenfingers,1443067,7/27/01 0:00,91,,,
,PG-13,53571,Why We Fight,1439972,1/20/06 0:00,99,,,
Nanette Burstein,R,89087,The Kid Stays in the Picture,1439232,7/26/02 0:00,93,,,
,R,124000,Disconnect,1436900,4/12/13 0:00,115,,,
,R,,Love at Large,1436308,3/9/90 0:00,97,,,
Jim Jarmusch,R,,Down by Law,1435668,9/20/86 0:00,107,,,
George Hickenlooper,R,46353,The Man from Elysian Fields,1435016,9/27/02 0:00,106,,,
,Unrated,323752,Monica la mitraille,1435015,4/30/04 0:00,125,,,
,PG-13,747119,Shadow of the Wolf,1434174,3/5/93 0:00,111,,,
Charles Ferguson,Unrated,31533,No End in Sight,1433319,7/27/07 0:00,102,,,
,G,35189,Microcosmos,1433210,10/9/96 0:00,80,,,
,R,881793,A Prayer for the Dying,1432687,9/11/87 0:00,108,,,
,Unrated,370266,Krrish,1430721,6/30/06 0:00,154,10200000,,
,PG-13,679160,The Art of Getting By,1430241,6/17/11 0:00,84,,,
,R,366909,I Hope They Serve Beer in Hell,1429299,9/25/09 0:00,105,,,
Patrice Leconte,PG-13,45246,My Best Friend,1426784,7/13/07 0:00,94,,,
,PG-13,61481,Northfork,1420578,7/11/03 0:00,94,,,
,PG-13,78345,American Flyers,1420355,8/16/85 0:00,113,,,
,PG-13,29980,Monsieur Hire,1417030,4/20/90 0:00,79,,,
,R,143131,The Notorious Bettie Page,1415082,4/14/06 0:00,91,,,
,R,,Escape 2000,1414828,9/12/84 0:00,80,,,
Kevin Macdonald,PG-13,262004,Marley,1413480,4/20/12 0:00,145,,,
,Unrated,504898,Salaam Namaste,1413283,9/9/05 0:00,160,,,
,PG-13,33843,Looking for Richard,1408575,10/11/96 0:00,118,,,
,R,25998,I've Heard Mermaids Singing,1408491,9/11/87 0:00,81,,,
,R,,Lovers,1407309,9/12/92 0:00,103,,,
,PG,42404,Where Angels Fear to Tread,1403033,2/28/92 0:00,116,,,
,PG,550848,Sahara,1402962,3/2/84 0:00,111,25000000,,
,PG-13,664517,Saving Private Perez,1400726,9/2/11 0:00,100,,,
,PG,64423,Ushpizin,1400666,10/19/05 0:00,90,,,
,R,95047,The Celluloid Closet,1400591,3/15/96 0:00,102,,,
,PG,693087,Courage Mountain,1393610,2/16/90 0:00,99,,,
,PG,,Give My Regards to Broad St.,1393501,10/12/84 0:00,108,,,
,R,,Penitentiary III,1392616,9/4/87 0:00,91,,,
,PG,837216,X Games 3D The Movie,1391434,8/21/09 0:00,92,,,
,R,658614,Phat Beach,1383553,8/2/96 0:00,88,,,
,PG-13,266975,Repossessed,1382462,9/14/90 0:00,89,,,
,PG-13,596131,Book of Love,1382259,2/1/91 0:00,86,,,
,R,,Certain Fury,1381091,3/1/85 0:00,87,,,
,PG-13,694447,Girl Most Likely,1378591,7/19/13 0:00,103,,,
,Unrated,77937,Certified Copy,1373975,3/11/11 0:00,106,,,
,PG-13,313844,Daddy's Dyin'... Who's Got the Will?,1373728,5/4/90 0:00,95,,,
,R,147629,South Central,1373196,9/18/92 0:00,99,,,
,R,581979,Everybody Wins,1372350,1/19/90 0:00,97,,,
Pedro Almodovar,R,97328,I'm So Excited,1368119,6/28/13 0:00,102,,,
,G,407695,Little Nemo: Adventures in Slumberland,1368000,8/21/92 0:00,100,,,
,Unrated,802254,Race,1367024,3/21/08 0:00,154,,,
,PG,655461,Strange Invaders,1362303,9/16/83 0:00,93,,,
Lee Tamahori,R,96414,The Devil's Double,1361512,7/29/11 0:00,108,19100000,,
,PG-13,689070,Gimme Shelter,1359910,1/24/14 0:00,100,,,
David O. Russell,Unrated,35396,Spanking the Monkey,1359736,7/15/94 0:00,100,200000,,
Robert Altman,R,,Kansas City,1356329,8/16/96 0:00,108,,,
,R,154991,The Offspring,1355728,9/4/87 0:00,96,,,
,PG,258400,The Secrets of Jonathan Sperry,1355079,9/18/09 0:00,96,,,
,Unrated,,Neuba Yol: Abajo La Nueva Ley,1354652,2/14/96 0:00,106,,,
,R,,True Love,1354268,9/15/89 0:00,101,,,
,Unrated,296295,Le Dernier Tunnel,1352489,3/12/04 0:00,110,,,
Gavin O'Connor,PG-13,80030,Tumbleweeds,1350248,11/26/99 0:00,100,,,
,R,,Platoon Leader,1348771,9/12/88 0:00,97,,,
Wayne Wang,PG-13,134005,Snow Flower and the Secret Fan,1348205,7/15/11 0:00,120,6000000,,
,PG,41253,Wadjda,1347747,9/13/13 0:00,98,,,
,R,118162,At Play in the Fields of the Lord,1345903,12/6/91 0:00,180,,,
,R,35281,City of Hope,1345015,10/11/91 0:00,129,3000000,,
,R,,Gas Food Lodging,1342613,7/10/92 0:00,101,,,
,PG-13,37542,Dear Frankie,1341332,3/4/05 0:00,102,,,
,PG-13,588938,"No Eres Tu, Soy Yo",1339911,4/8/11 0:00,105,,,
Hal Hartley,R,40939,Henry Fool,1338335,6/19/98 0:00,137,,,
,G,531905,GoBots: Battle of the Rock Lords,1338264,3/21/86 0:00,75,,,
,Unrated,,The Whales of August,1338198,10/16/87 0:00,90,,,
,Unrated,,The Navigator,1333379,3/3/89 0:00,60,,,
,Unrated,26812,Baraka,1254237,9/24/93 0:00,104,,,
,PG-13,29270,The Past,1331747,12/20/13 0:00,130,,,
,R,782000,The Abandoned,1331137,2/23/07 0:00,106,,,
,R,35581,Restrepo,1330894,6/25/10 0:00,94,,,
,PG-13,28583,Divided We Fall,1328815,6/8/01 0:00,120,,,
Mike Mills,R,85327,Thumbsucker,1328679,9/16/05 0:00,95,,,
,PG-13,,Chasing Ice,1328467,11/9/12 0:00,76,,,
,R,,Midnight Crossing,1328001,5/13/88 0:00,96,,,
,R,,Steele Justice,1327740,5/8/87 0:00,95,,,
,PG,659912,The Ultimate Life,1327149,9/6/13 0:00,105,,,
,PG,200347,The Work and the Glory III: A House Divided,1325092,11/22/06 0:00,93,6500000,,
,R,6413,Blue,1324974,11/30/93 0:00,100,,,
,Unrated,124475,Sarah Silverman: Jesus is Magic,1324339,11/11/05 0:00,72,,,
Mike Cahill,PG-13,77740,Another Earth,1321194,7/22/11 0:00,92,,,
,R,,The Horseman on the Roof,1320043,10/6/95 0:00,119,,,
,PG-13,29827,Catfish in Black Bean Sauce,1319592,6/9/00 0:00,119,,,
,Unrated,,Thirty Two Short Films About Glenn Gould,1319521,11/26/93 0:00,93,,,
,R,,Gabriela,1318839,1/1/84 0:00,104,,,
,PG,,Skateboard,1318823,2/1/78 0:00,97,,,
George Hickenlooper,R,42992,Hearts of Darkness,1318449,11/27/91 0:00,96,,,
,PG-13,50865,Off the Map,1317167,3/11/05 0:00,105,,,
,PG,835570,Radioland Murders,1316865,10/21/94 0:00,108,,,
,PG-13,10189,Romero,1316495,8/25/89 0:00,102,,,
Don Roos,R,240075,Happy Endings,1315701,7/15/05 0:00,128,,,
,R,58962,The Kings of Summer,1315590,5/31/13 0:00,93,,,
,R,58940,Sylvia,1315498,10/17/03 0:00,110,,,
,R,44829,Romance,1314053,9/17/99 0:00,98,,,
,PG-13,129056,Saints and Soldiers,1310470,8/6/04 0:00,90,780000,,
,PG,26697,Anne Frank Remembered,1310200,2/23/96 0:00,122,,,
,Unrated,,Air Racers 3D,1309987,4/6/12 0:00,40,,,
Steven Soderbergh,R,76817,The Good German,1308696,12/15/06 0:00,108,,,
,R,10758,Brother's Keeper,1305915,9/9/92 0:00,86,,,
,R,776449,The Fourth War,1305887,3/23/90 0:00,91,,,
,G,297155,Babar: The Movie,1305187,7/28/89 0:00,79,,,
,R,609955,8 Million Ways to Die,1305114,4/25/86 0:00,115,,,
,R,,Queen Margot,1292232,12/9/94 0:00,159,,,
,PG,,The Aviator,1304192,3/1/85 0:00,96,,,
,R,37089,Jesus' Son,1302067,6/16/00 0:00,105,2500000,,
,PG,,Native Son,1301121,12/12/86 0:00,112,,,
,PG-13,103355,Dogtown and Z-Boys,1300682,4/26/02 0:00,90,,,
,Unrated,,Ponette,1300377,3/14/97 0:00,92,,,
David Hare,R,37283,Wetherby,1299985,7/19/85 0:00,103,,,
,R,76488,Cousin Bette,1295194,6/12/98 0:00,108,,,
Michael Haneke,R,544833,Funny Games,1294919,3/14/08 0:00,108,,,
,R,112188,The Hot Spot,1293976,10/12/90 0:00,130,,,
,R,267996,Bloodfist 2,1292323,10/12/90 0:00,85,,,
,R,266935,El Vacilon: The Movie,1291951,10/21/05 0:00,90,,,
,Unrated,726834,Kaminey,1291827,8/14/09 0:00,135,,,
,Unrated,690423,Eklavya - The Royal Guard,1290212,2/16/07 0:00,105,,,
,Unrated,628137,Dabangg,1288549,9/10/10 0:00,155,,,
Nicole Holofcener,R,,Walking and Talking,1287480,7/17/96 0:00,85,,,
,PG-13,125691,The Other Son,1285918,10/26/12 0:00,105,,,
,PG,300103,Time Changer,1285167,10/25/02 0:00,99,825000,,
,R,127141,Cecil B. Demented,1284646,8/11/00 0:00,88,,,
,R,16118,Startup.com,1283356,5/11/01 0:00,96,,,
Zhang Yimou,G,,The Road Home,1280490,5/25/01 0:00,89,,,
,R,171603,The Rapture,1277404,10/4/91 0:00,100,,,
,PG-13,219494,Paper Heart,1274062,8/7/09 0:00,89,,,
,PG,464441,Robot Jox,1272977,11/21/90 0:00,85,,,
,PG-13,51969,Osama,1270904,2/6/04 0:00,82,46000,,
Richard Kelly,R,110494,Donnie Darko,517375,10/26/01 0:00,113,6000000,,
,R,104365,Blue in the Face,1268636,10/13/95 0:00,90,,,
,Unrated,,Spike & Mike's Animation Festival,1268529,9/16/92 0:00,86,,,
,G,291126,Adventures of American Rabbit,1268443,1/17/86 0:00,82,,,
,R,21823,Apartment Zero,1267578,9/15/89 0:00,124,,,
,R,47295,The Emperor and the Assassin,1267239,12/15/99 0:00,161,,,
Gus Van Sant,R,93356,Elephant,1266955,10/24/03 0:00,81,,,
,R,47431,Roger Dodger,1266828,10/25/02 0:00,104,,,
,Unrated,840506,Jai Ho,1264515,1/24/14 0:00,135,,,
,R,82431,Hideous Kinky,1263279,4/16/99 0:00,98,12000000,,
,PG,,Eddie Macon's Run,1262691,9/12/83 0:00,95,,,
,Unrated,23950,Little Vera,1262598,4/14/89 0:00,110,,,
,R,531362,China Girl,1262091,9/25/87 0:00,88,,,
Jean-Pierre Jeunet,R,42751,Micmacs,1262079,5/28/10 0:00,105,42000000,,
-1,R,514417,From Beyond,1261000,10/24/86 0:00,85,,,
,PG-13,510136,Water,1256862,4/18/86 0:00,115,,,
,R,126939,Touch and Go,1254040,8/22/86 0:00,101,,,
Michael Winterbottom,R,60886,Tristram Shandy: A Cock and Bull Story,1253413,1/27/06 0:00,91,,,
,Unrated,15186,The Best Intentions,1253106,7/10/92 0:00,180,,,
,R,191942,Gonzo,1252100,7/4/08 0:00,118,,,
,R,143935,"For a Good Time, Call...",1251749,8/31/12 0:00,86,,,
,PG,43149,The Singles Ward,1250798,2/1/02 0:00,110,,,
,R,444239,Kickboxer 2,1250712,6/14/91 0:00,90,,,
,Unrated,,Home of the Brave,1250000,4/25/86 0:00,90,,,
,PG,99518,MVP: Most Valuable Primate,1248746,8/11/00 0:00,93,,,
,R,576820,Turn It Up,1247949,9/8/00 0:00,87,13000000,,
,R,,Lost Angels,1247946,9/12/88 0:00,117,,,
,PG,,Goldengirl,1247376,6/15/79 0:00,104,,,
Curtis Hanson,R,437257,Losin' It,1246141,4/8/83 0:00,100,,,
,Unrated,427400,Omkara,1244576,7/28/06 0:00,150,,,
Paul Schrader,R,14537,The Comfort of Strangers,1244381,3/15/91 0:00,107,,,
,Unrated,645604,Dostana,1243910,11/14/08 0:00,145,,,
,R,270135,Slumber Party Massacre 3,1242995,9/7/90 0:00,87,,,
Sarah Polley,R,137019,Take This Waltz,1239692,6/29/12 0:00,116,,,
,R,35636,Bubba Ho-Tep,1239183,9/19/03 0:00,92,,,
,PG-13,44380,Picture Bride,1238905,4/28/95 0:00,95,,,
,PG-13,791182,"Car 54, Where Are You?",1238080,1/28/94 0:00,89,,,
,R,778123,Slow Burn,1237615,4/13/07 0:00,93,,,
,R,22284,White,1237219,6/10/94 0:00,91,,,
,PG-13,,Anna,1236848,9/12/87 0:00,101,,,
,PG,,Queen of Hearts,1236844,9/20/89 0:00,103,,,
Ralph Fiennes,R,31948,The Invisible Woman,1234254,12/25/13 0:00,111,,,
,Unrated,672891,Main Prem Ki Diwani Hoon,1232228,6/27/03 0:00,197,,,
,Unrated,20809,The Icicle Thief,1231622,8/24/90 0:00,88,,,
,R,333126,Going the Distance,1230897,8/20/04 0:00,93,,,
,PG-13,,Toto Le Heros,1228153,3/6/92 0:00,90,,,
Richard Linklater,R,24307,Slacker,1228108,7/5/91 0:00,97,23000,,
,Unrated,647956,Cocktail,1227789,7/13/12 0:00,146,,,
,R,41768,The Funeral,1227324,11/1/96 0:00,99,,,
,R,372253,Vital Signs,1224605,4/13/90 0:00,103,,,
,Unrated,352568,Taare Zameen Par,1223869,12/21/07 0:00,165,,,
Paul Schrader,R,601680,Patty Hearst,1223326,9/23/88 0:00,108,,,
,Unrated,424804,Swades,1223240,12/17/04 0:00,180,,,
,R,1223220,The Lonely Lady,1223220,9/30/83 0:00,92,,,
,R,651350,One Tough Cop,1223034,10/9/98 0:00,90,,,
,R,40724,Nine Queens,1222889,4/19/02 0:00,115,,,
,R,46359,Metallica: Some Kind of Monster,1222708,7/9/04 0:00,140,,,
,PG,37036,Mr. North,1221366,7/22/88 0:00,90,,,
,PG,381457,A Million to Juan,1220842,5/13/94 0:00,97,,,
,R,,Without You I'm Nothing,1218730,5/4/90 0:00,90,,,
,R,,The Hairdresser's Husband,1217084,6/19/92 0:00,82,,,
,PG,561996,Bol Bachchan,1216258,7/6/12 0:00,106,,,
,PG,,Dreamchild,1215923,10/4/85 0:00,94,,,
,R,50103,Shut Up and Sing,1215045,10/27/06 0:00,99,,,
Steven Soderbergh,PG-13,46476,King of the Hill,1214231,8/20/93 0:00,102,,,
,R,26771,The General,1214198,12/18/98 0:00,129,,,
,PG-13,641542,Woman Thou Art Loosed!: On the 7th Day,1213128,4/13/12 0:00,101,,,
Gregory Nava,PG-13,509397,A Time of Destiny,1212487,4/22/88 0:00,118,,,
,Unrated,33671,I'm the One That I Want,1210967,8/4/00 0:00,96,,,
Errol Morris,Unrated,17814,The Thin Blue Line,1209846,8/26/88 0:00,103,,,
,Unrated,578224,Namastey London,1207007,3/23/07 0:00,137,,,
,G,,From Mao to Mozart,1205934,4/10/81 0:00,114,,,
,PG,140888,Inequality for All,1205273,9/27/13 0:00,85,,,
Kurt Wimmer,R,541512,Equilibrium,1203794,12/6/02 0:00,107,,,
Michael Rapaport,R,111982,"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",1200326,7/8/11 0:00,98,,,
Michael Radford,PG-13,181910,Flawless,1200234,3/28/08 0:00,100,,,
,R,411544,District B13,1200216,6/2/06 0:00,85,,,
,R,43013,Headhunters,1200010,4/27/12 0:00,100,,,
,Unrated,51712,"4 Months, 3 Weeks, 2 Days",1198208,1/25/08 0:00,113,,,
Stephen Frears,Unrated,31899,Sammy and Rosie Get Laid,1196336,10/30/87 0:00,101,,,
,PG,638625,Cool as Ice,1193062,10/18/91 0:00,100,6000000,,
Mike Leigh,PG,27964,High Hopes,1192322,2/24/89 0:00,110,,,
,R,496226,Backstage,1191835,9/8/00 0:00,87,,,
,PG,36112,Dancers,1190416,10/9/87 0:00,99,,,
Richard Linklater,PG-13,63638,Me and Orson Welles,1190003,11/25/09 0:00,107,25000000,,
,R,,Return to Horror High,1189709,1/9/87 0:00,95,,,
,R,501290,Repentance,1189612,2/28/14 0:00,90,,,
,R,22155,The Lair of the White Worm,1189315,10/21/88 0:00,93,2500000,,
,R,145430,Kill the Irishman,1188194,3/11/11 0:00,106,,,
,R,75104,Saving Face,1187266,5/27/05 0:00,91,,,
Kevin Munroe,PG-13,754779,Dylan Dog: Dead of Night,1186538,4/29/11 0:00,107,,,
Michael Winterbottom,R,34940,24 Hour Party People,1184096,8/9/02 0:00,115,,,
,Unrated,642156,Housefull,1183658,4/30/10 0:00,135,,,
,R,606046,Year of the Gun,1182273,11/1/91 0:00,111,,,
,PG-13,120544,Bee Season,1180560,11/11/05 0:00,105,14000000,,
,R,51970,I Capture the Castle,1179035,7/11/03 0:00,113,8000000,,
Ole Bornedal,R,585733,Nightwatch,1179002,4/17/98 0:00,105,,,
,R,676659,Destiny Turns on the Radio,1176982,4/28/95 0:00,101,,,
,PG,52473,Why Would I Lie?,1175855,8/8/80 0:00,105,,,
,R,12074,Festival Express,1174079,7/23/04 0:00,90,,,
Sidney Lumet,R,608804,Find Me Guilty,1173643,3/17/06 0:00,124,13000000,,
,PG-13,531714,Don't Tell Her It's Me,1171762,9/21/90 0:00,102,,,
,R,260562,Permanent Midnight,1171001,9/18/98 0:00,88,,,
,R,,Night School,1169875,9/11/81 0:00,88,,,
Rob Zombie,R,642942,The Lords of Salem,1165882,4/19/13 0:00,100,1500000,,
,R,20260,American Movie,1165795,11/5/99 0:00,107,,,
,Unrated,,Ma vie en cinemascope,1163648,12/17/04 0:00,90,,,
,PG,92436,The Best Two Years,1163450,2/20/04 0:00,109,,,
,PG-13,520116,Romeo and Juliet,1162635,10/11/13 0:00,102,,,
Rob Hardy,R,200815,Trois,1161843,2/11/00 0:00,93,,,
,PG,19295,To Sleep With Anger,1161135,10/12/90 0:00,101,,,
Chris Terrio,R,52885,Heights,1160817,6/17/05 0:00,93,,,
,R,,Murmur of the Heart,1160784,2/3/89 0:00,118,,,
David M. Evans,PG,661049,The Final Season,1159691,10/12/07 0:00,118,,,
,R,179080,The Unborn,1159578,3/29/91 0:00,96,,,
,PG-13,,Still Mine,1159336,5/3/13 0:00,102,,,
,PG-13,40125,Shower,1157764,7/7/00 0:00,92,,,
,Unrated,637100,Ek Main Aur Ekk Tu,1155545,2/10/12 0:00,140,,,
,R,,The Good Wife,1155020,9/12/86 0:00,98,,,
,R,,"Olivier, Olivier",1154476,3/3/93 0:00,110,,,
,R,54254,Get Real,1152979,4/30/99 0:00,108,,,
,PG,,The Wrong Guys,1152786,5/13/88 0:00,86,,,
,R,308499,Excessive Force,1152117,5/14/93 0:00,87,,,
,PG,69209,Together,1151941,5/30/03 0:00,116,,,
